epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,284.683,1.0514,0.7815,1.14525,0.73032,0.69697,0.74165,0.43657,1.48637,1.16168,1.44913,0.0013268,0.0013268,0.0013268
70,288.739,1.0718,0.77925,1.13312,0.75927,0.68788,0.75759,0.446,1.467,1.09831,1.43879,0.0013169,0.0013169,0.0013169
71,292.76,1.04451,0.77968,1.11943,0.74199,0.68182,0.73012,0.43943,1.44305,1.17953,1.38702,0.001307,0.001307,0.001307
72,296.819,1.09908,0.8137,1.14016,0.81509,0.61818,0.72543,0.43327,1.4662,1.17231,1.40354,0.0012971,0.0012971,0.0012971
73,300.864,1.03855,0.73921,1.10948,0.78995,0.65758,0.73748,0.45057,1.46943,1.13492,1.39651,0.0012872,0.0012872,0.0012872
74,304.943,1.05283,0.7558,1.14113,0.76383,0.61212,0.68925,0.40426,1.44502,1.23179,1.40028,0.0012773,0.0012773,0.0012773
75,309.047,1.04532,0.77281,1.1094,0.7835,0.63333,0.72998,0.4329,1.46911,1.14012,1.45746,0.0012674,0.0012674,0.0012674
76,313.056,1.028,0.75546,1.10981,0.82779,0.67273,0.76491,0.46103,1.4153,1.09858,1.41947,0.0012575,0.0012575,0.0012575
77,317.116,1.02985,0.75971,1.11016,0.80985,0.63636,0.73217,0.43234,1.45905,1.26266,1.43201,0.0012476,0.0012476,0.0012476
78,321.171,1.03967,0.75057,1.10814,0.80882,0.64101,0.74996,0.44394,1.47053,1.12555,1.41592,0.0012377,0.0012377,0.0012377
79,325.272,1.02668,0.7345,1.11498,0.76168,0.6489,0.71664,0.42954,1.47339,1.14767,1.44221,0.0012278,0.0012278,0.0012278
80,329.268,1.02479,0.74867,1.10445,0.77527,0.52424,0.62581,0.367,1.57699,1.52667,1.48906,0.0012179,0.0012179,0.0012179
81,333.271,1.02193,0.74415,1.10232,0.79344,0.61818,0.73876,0.43576,1.49546,1.12865,1.47889,0.001208,0.001208,0.001208
82,337.35,1.0385,0.75693,1.12886,0.80268,0.64545,0.75233,0.45799,1.38231,1.16439,1.36071,0.0011981,0.0011981,0.0011981
83,341.361,0.99486,0.72697,1.07544,0.75033,0.65569,0.71392,0.41911,1.44534,1.19916,1.44789,0.0011882,0.0011882,0.0011882
84,345.384,1.01114,0.74045,1.11459,0.78053,0.65152,0.72674,0.43465,1.44745,1.17409,1.43645,0.0011783,0.0011783,0.0011783
85,349.406,1.04413,0.78126,1.11505,0.76015,0.62727,0.70229,0.43524,1.40621,1.24351,1.40163,0.0011684,0.0011684,0.0011684
86,353.496,1.02459,0.73465,1.13854,0.78602,0.62727,0.70802,0.43636,1.43486,1.16813,1.42836,0.0011585,0.0011585,0.0011585
87,357.539,0.96425,0.71848,1.08836,0.81567,0.63024,0.72511,0.43232,1.43867,1.16727,1.42755,0.0011486,0.0011486,0.0011486
88,361.697,1.02186,0.70891,1.10833,0.792,0.66061,0.73959,0.45519,1.39065,1.11952,1.36033,0.0011387,0.0011387,0.0011387
89,365.732,1.00944,0.71254,1.08166,0.7647,0.64545,0.70383,0.42188,1.42709,1.25699,1.41828,0.0011288,0.0011288,0.0011288
90,369.819,1.01776,0.80341,1.1172,0.83223,0.62727,0.73931,0.45292,1.4147,1.12465,1.38427,0.0011189,0.0011189,0.0011189
