epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,629.602,0.97415,0.56581,0.00733,0.80305,0.66364,0.74986,0.479,1.50186,1.23235,0.01505,0.0009308,0.0009308,0.0009308
110,635.523,0.99686,0.55722,0.00829,0.72677,0.66667,0.72064,0.44991,1.506,1.27105,0.01479,0.0009209,0.0009209,0.0009209
111,641.163,0.97044,0.55589,0.00684,0.77828,0.66364,0.74336,0.46323,1.56572,1.267,0.0156,0.000911,0.000911,0.000911
112,646.982,0.99445,0.5907,0.00725,0.79273,0.6697,0.76712,0.48389,1.49136,1.29921,0.01427,0.0009011,0.0009011,0.0009011
113,652.608,0.94843,0.56482,0.00702,0.82102,0.69394,0.77576,0.47948,1.47016,1.21985,0.01379,0.0008912,0.0008912,0.0008912
114,658.535,0.93868,0.52642,0.00673,0.86062,0.66061,0.78332,0.48904,1.481,1.31738,0.01387,0.0008813,0.0008813,0.0008813
115,664.071,0.97028,0.53923,0.00654,0.84859,0.67932,0.77494,0.49665,1.459,1.26464,0.01344,0.0008714,0.0008714,0.0008714
116,669.889,0.95218,0.54021,0.00694,0.81249,0.65652,0.75186,0.48894,1.51891,1.37185,0.01449,0.0008615,0.0008615,0.0008615
117,675.544,0.92463,0.52248,0.00647,0.81044,0.64545,0.74639,0.4732,1.505,1.37231,0.0145,0.0008516,0.0008516,0.0008516
118,681.341,0.93545,0.53381,0.00691,0.82966,0.65455,0.75456,0.46672,1.59072,1.42314,0.01562,0.0008417,0.0008417,0.0008417
119,686.961,0.91863,0.50363,0.00673,0.83015,0.66667,0.77119,0.485,1.52176,1.28096,0.01484,0.0008318,0.0008318,0.0008318
120,692.555,0.91919,0.52713,0.0066,0.84514,0.66154,0.78034,0.49483,1.49724,1.29922,0.01423,0.0008219,0.0008219,0.0008219
121,698.463,0.9665,0.54828,0.00699,0.84014,0.64242,0.76563,0.48799,1.50268,1.25688,0.01437,0.000812,0.000812,0.000812
122,704.125,0.90435,0.51055,0.00668,0.79851,0.68788,0.77724,0.49023,1.5247,1.29132,0.01475,0.0008021,0.0008021,0.0008021
123,709.759,0.93602,0.51751,0.00656,0.81581,0.64545,0.74642,0.48178,1.47902,1.37588,0.01414,0.0007922,0.0007922,0.0007922
124,715.431,0.92252,0.52629,0.00671,0.80684,0.64848,0.7496,0.47085,1.50837,1.30664,0.01502,0.0007823,0.0007823,0.0007823
125,721.261,0.92333,0.51868,0.00687,0.77035,0.63333,0.73305,0.46983,1.51386,1.36401,0.01538,0.0007724,0.0007724,0.0007724
126,726.96,0.91883,0.50879,0.00614,0.80073,0.65758,0.75559,0.47869,1.53435,1.31628,0.01512,0.0007625,0.0007625,0.0007625
127,732.609,0.91544,0.56645,0.00665,0.80541,0.66364,0.77052,0.48281,1.48657,1.30117,0.01491,0.0007526,0.0007526,0.0007526
128,738.379,0.92331,0.50761,0.00628,0.83226,0.63636,0.76403,0.48016,1.49814,1.2947,0.01453,0.0007427,0.0007427,0.0007427
129,744.303,0.91936,0.48996,0.007,0.7954,0.64792,0.74818,0.48111,1.48839,1.36447,0.01456,0.0007328,0.0007328,0.0007328
130,750.225,0.93274,0.51003,0.00683,0.74349,0.69388,0.73889,0.48893,1.47461,1.41631,0.0141,0.0007229,0.0007229,0.0007229
